city	count	latitude	longitude
Seattle, WA	336	47.603569	-122.3294525
Phoenix, AZ	309	33.4482613	-112.0757675
Los Angeles, CA	253	34.0534897	-118.2453232
San Diego, CA	229	32.7156906	-117.1617203
Las Vegas, NV	225	36.1719093	-115.1399689
Houston, TX	215	29.7604504	-95.3697815
Portland, OR	207	45.5117912	-122.6756287
Chicago, IL	177	41.8842506	-87.6324463
Tucson, AZ	157	32.22155	-110.9697571
Miami, FL	135	25.7748108	-80.197731
Austin, TX	129	30.2675991	-97.742981
San Antonio, TX	125	29.4245796	-98.4946136
San Francisco, CA	122	37.7771187	-122.4196396
Denver, CO	120	39.7400093	-104.9923019
San Jose, CA	120	37.3385811	-121.8855667
Tinley Park, IL	116	41.5971413	-87.7851715
Orlando, FL	114	28.5382309	-81.377388
Albuquerque, NM	114	35.0841789	-106.6486435
Sacramento, CA	104	38.5793304	-121.4908981
Dallas, TX	95	32.7781487	-96.7954025
Mesa, AZ	91	33.4170418	-111.831459
New York City, NY	90	40.7820015	-73.8327026
Charlotte, NC	88	35.2228584	-80.8379593
New York City (Brooklyn), NY	82	40.7820015	-73.8327026
Spokane, WA	81	47.6572609	-117.4122772
Tampa, FL	80	27.9465294	-82.4592667
Tacoma, WA	80	47.2551308	-122.4416428
Indianapolis, IN	80	39.7669106	-86.1499634
Jacksonville, FL	79	30.3314705	-81.6562195
Reno, NV	79	39.5273819	-119.8134384
Columbus, OH	77	39.9619904	-83.0027466
Colorado Springs, CO	74	38.8334312	-104.8218079
Rockford, IL	74	42.2668991	-89.0783463
Louisville, KY	74	38.2548599	-85.7664032
Scottsdale, AZ	70	33.4939995	-111.9206924
Vancouver, WA	69	45.6322098	-122.6715622
Tulsa, OK	68	36.1497383	-95.9933319
Salt Lake City, UT	68	40.7600594	-111.8882217
St. Louis, MO	68	38.6277504	-90.1995621
Philadelphia, PA	66	39.9522781	-75.1624527
Kansas City, MO	65	39.102951	-94.5830765
Omaha, NE	64	41.2606888	-95.9405899
Atlanta, GA	63	33.7483101	-84.3911133
Myrtle Beach, SC	62	33.6935616	-78.8826599
Everett, WA	62	47.9765892	-122.2059326
Salem, OR	62	44.9332619	-123.043808
Fresno, CA	61	36.7406807	-119.7857285
Eugene, OR	60	44.0499191	-123.0885391
Gilbert, AZ	60	33.3290405	-111.7897568
